	DEPT	GR
732	47.8536	37.2545
733	47.8536	35.8891
734	47.9298	39.2019
735	47.9298	38.0861
736	48.006	39.81
737	48.006	40.3453
738	48.0822	40.9197
739	48.0822	40.6693
740	48.1584	41.3372
741	48.1584	40.3136
742	48.2346	41.1722
743	48.2346	39.4693
744	48.3108	38.4029
745	48.3108	40.6438
746	48.387	40.0329
747	48.387	37.366
748	48.4632	39.5959
749	48.4632	36.5113
750	48.5394	35.9402
751	48.5394	39.4421
752	48.6156	35.7918
753	48.6156	39.4797
754	48.6918	36.058
755	48.6918	39.5122
756	48.768	36.5801
757	48.768	39.3536
758	48.8442	37.1514
759	48.8442	38.9759
760	48.9204	37.6848
761	48.9204	38.4584
762	48.9966	38.1249
763	48.9966	37.9028
764	49.0728	37.2953
765	49.0728	38.3913
766	49.149	36.6349
767	49.149	38.3575
768	49.2252	35.986
769	49.2252	37.965
770	49.3014	35.4079
771	49.3014	37.2406
772	49.3776	36.2242
773	49.3776	34.9475
774	49.4538	34.6152
775	49.4538	34.9468
776	49.53	33.5378
777	49.53	34.3102
778	49.6062	33.9175
779	49.6062	32.2073
780	49.6824	33.4276
781	49.6824	31.1502
782	49.7586	30.483
783	49.7586	32.9805
784	49.8348	30.264
785	49.8348	32.7878
786	49.911	30.5045
787	49.911	33.0548
788	49.9872	31.0599
789	49.9872	33.7696
790	50.0634	31.7402
791	50.0634	34.7015
792	50.1396	32.4285
793	50.1396	35.6185
794	50.2158	33.0072
795	50.2158	36.3047
796	50.292	33.3564
797	50.292	36.6095
798	50.3682	36.5555
799	50.3682	33.4161
800	50.4444	33.2429
801	50.4444	36.2514
802	50.5206	35.8565
803	50.5206	32.9887
804	50.5968	35.5763
805	50.5968	32.8187
806	50.673	35.4627
807	50.673	32.8195
808	50.7492	35.3986
809	50.7492	32.9351
810	50.8254	35.2169
811	50.8254	32.9915
812	50.9016	34.8056
813	50.9016	32.8501
814	50.9778	32.5361
815	50.9778	34.1177
816	51.054	32.3074
817	51.054	33.3183
818	51.1302	32.3755
819	51.1302	32.6434
820	51.2064	32.6861
821	51.2064	32.2409
822	51.2826	32.9703
823	51.2826	32.0901
824	51.3588	32.978
825	51.3588	32.0882
826	51.435	32.067
827	51.435	32.6725
828	51.5112	31.966
829	51.5112	32.2087
830	51.5874	31.7799
831	51.5874	31.7563
832	51.6636	31.5506
833	51.6636	31.4228
834	51.7398	31.5564
835	51.7398	31.0256
836	51.816	31.6677
837	51.816	30.6975
838	51.8922	31.7333
839	51.8922	30.5345
840	51.9684	30.6418
841	51.9684	31.7297
842	52.0446	31.7718
843	52.0446	31.0809
844	52.1208	31.829
845	52.1208	32.0262
846	52.197	32.6148
847	52.197	32.7511
848	52.2732	33.7319
849	52.2732	33.5081
850	52.3494	34.7231
851	52.3494	34.6267
852	52.4256	35.7734
853	52.4256	35.8575
854	52.5018	36.9
855	52.5018	37.063
856	52.578	38.0434
857	52.578	38.0982
858	52.6542	38.9022
859	52.6542	39.142
860	52.7304	40.2497
861	52.7304	39.5584
862	52.8066	41.3469
863	52.8066	40.2328
864	52.8828	42.2963
865	52.8828	40.977
866	52.959	42.9192
867	52.959	41.713
868	53.0352	43.0332
869	53.0352	42.2415
870	53.1114	42.5939
871	53.1114	42.3129
872	53.1876	41.7859
873	53.1876	41.7424
874	53.2638	40.4936
875	53.2638	40.845
876	53.34	39.97
877	53.34	38.752
878	53.4162	36.8599
879	53.4162	39.1519
880	53.4924	38.2124
881	53.4924	35.1829
882	53.5686	33.859
883	53.5686	36.9821
884	53.6448	32.8431
885	53.6448	35.486
886	53.721	33.9944
887	53.721	32.1505
888	53.7972	31.7966
889	53.7972	32.8118
890	53.8734	32.1638
891	53.8734	31.7452
892	53.9496	31.8664
893	53.9496	32.0617
894	54.0258	31.956
895	54.0258	32.2699
896	54.102	31.8336
897	54.102	32.5028
898	54.1782	31.4181
899	54.1782	32.5663
900	54.2544	32.4818
901	54.2544	30.8048
902	54.3306	30.2909
903	54.3306	32.4272
904	54.4068	32.565
905	54.4068	30.16
906	54.483	30.4908
907	54.483	32.9643
908	54.5592	31.0529
909	54.5592	33.571
910	54.6354	31.5136
911	54.6354	34.1976
912	54.7116	34.6789
913	54.7116	31.6796
914	54.7878	31.6094
915	54.7878	34.9003
916	54.864	31.4876
917	54.864	34.8635
918	54.9402	34.6901
919	54.9402	31.4216
920	55.0164	31.4143
921	55.0164	34.5022
922	55.0926	34.2775
923	55.0926	31.3626
924	55.1688	33.9668
925	55.1688	31.1779
926	55.245	33.5986
927	55.245	30.8847
928	55.3212	33.3072
929	55.3212	30.5828
930	55.3974	30.388
931	55.3974	33.2119
932	55.4736	33.3175
933	55.4736	30.4207
934	55.5498	33.6016
935	55.5498	30.7679
936	55.626	34.0683
937	55.626	31.5075
938	55.7022	34.7052
939	55.7022	32.6698
940	55.7784	35.4464
941	55.7784	34.1523
942	55.8546	36.2611
943	55.8546	35.766
944	55.9308	37.152
945	55.9308	37.2582
946	56.007	38.4068
947	56.007	38.0739
948	56.0832	39.2118
949	56.0832	38.9072
950	56.1594	39.4973
951	56.1594	39.7839
952	56.2356	39.7253
953	56.2356	40.119
954	56.3118	39.6266
955	56.3118	40.1165
956	56.388	39.2722
957	56.388	39.7037
958	56.4642	38.6102
959	56.4642	38.9084
960	56.5404	37.5754
961	56.5404	37.9317
962	56.6166	36.2249
963	56.6166	37.011
964	56.6928	36.221
965	56.6928	34.6932
966	56.769	35.5126
967	56.769	33.1918
968	56.8452	31.9372
969	56.8452	34.7958
970	56.9214	31.109
971	56.9214	33.9936
972	56.9976	30.7584
973	56.9976	33.2155
974	57.0738	32.7029
975	57.0738	30.794
976	57.15	32.5798
977	57.15	30.9975
978	57.2262	32.8302
979	57.2262	31.2225
980	57.3024	33.3483
981	57.3024	31.5061
982	57.3786	31.9963
983	57.3786	33.9835
984	57.4548	34.6173
985	57.4548	32.7721
986	57.531	33.7728
987	57.531	35.1194
988	57.6072	35.2596
989	57.6072	34.8054
990	57.6834	34.9229
991	57.6834	35.6037
992	57.7596	34.105
993	57.7596	35.8954
994	57.8358	32.8757
995	57.8358	35.5607
996	57.912	34.6723
997	57.912	31.4224
998	57.9882	30.0111
999	57.9882	33.4266
1000	58.0644	28.8384
1001	58.0644	31.9912
1002	58.1406	28.0487
1003	58.1406	30.5209
1004	58.2168	27.7614
1005	58.2168	29.1905
1006	58.293	28.0367
1007	58.293	28.185
1008	58.3692	28.8216
1009	58.3692	27.6897
1010	58.4454	29.954
1011	58.4454	27.7667
1012	58.5216	31.0557
1013	58.5216	28.2127
1014	58.5978	28.6653
1015	58.5978	31.7067
1016	58.674	28.7957
1017	58.674	31.6628
1018	58.7502	30.901
1019	58.7502	28.5109
1020	58.8264	29.6098
1021	58.8264	27.9633
1022	58.9026	28.1054
1023	58.9026	27.4001
1024	58.9788	27.0102
1025	58.9788	26.7109
1026	59.055	26.8068
1027	59.055	25.6802
1028	59.1312	25.0541
1029	59.1312	26.6536
1030	59.2074	24.7534
1031	59.2074	26.3776
1032	59.2836	24.6959
1033	59.2836	25.9275
1034	59.3598	25.3938
1035	59.3598	24.8634
1036	59.436	24.9308
1037	59.436	25.222
1038	59.5122	25.7117
1039	59.5122	24.6614
1040	59.5884	24.6564
1041	59.5884	26.2727
1042	59.6646	26.8535
1043	59.6646	24.9475
1044	59.7408	27.4327
1045	59.7408	25.5325
1046	59.817	28.0084
1047	59.817	26.295
1048	59.8932	28.629
1049	59.8932	27.0841
1050	59.9694	27.7895
1051	59.9694	29.4591
1052	60.0456	28.4646
1053	60.0456	30.6919
1054	60.1218	29.2617
1055	60.1218	32.3081
1056	60.198	30.3622
1057	60.198	34.1235
1058	60.2742	35.9147
1059	60.2742	31.8311
1060	60.3504	37.4241
1061	60.3504	33.6635
1062	60.4266	38.4369
1063	60.4266	35.7237
1064	60.5028	37.8093
1065	60.5028	39.018
1066	60.579	39.4668
1067	60.579	39.6907
1068	60.6552	41.2911
1069	60.6552	40.1269
1070	60.7314	42.5649
1071	60.7314	41.1198
1072	60.8076	42.2474
1073	60.8076	43.4737
1074	60.8838	43.1302
1075	60.8838	43.9325
1076	60.96	43.5367
1077	60.96	43.9393
1078	61.0362	43.4672
1079	61.0362	43.6049
1080	61.1124	43.0696
1081	61.1124	43.1305
1082	61.1886	42.6502
1083	61.1886	42.6757
1084	61.2648	42.6177
1085	61.2648	42.3435
1086	61.341	42.5048
1087	61.341	43.0193
1088	61.4172	43.9639
1089	61.4172	43.482
1090	61.4934	45.643
1091	61.4934	45.4737
1092	61.5696	48.2354
1093	61.5696	48.4923
1094	61.6458	51.84
1095	61.6458	52.4199
1096	61.722	56.2331
1097	61.722	56.9874
1098	61.7982	61.776
1099	61.7982	60.8221
1100	61.8744	64.91
1101	61.8744	66.2385
1102	61.9506	69.9304
1103	61.9506	68.0404
1104	62.0268	72.6688
1105	62.0268	69.9659
1106	62.103	74.4622
1107	62.103	70.8882
1108	62.1792	71.2116
1109	62.1792	75.4628
1110	62.2554	71.2855
1111	62.2554	75.9435
1112	62.3316	71.2971
1113	62.3316	76.1406
1114	62.4078	76.1529
1115	62.4078	71.4077
1116	62.484	75.942
1117	62.484	71.7741
1118	62.5602	72.4896
1119	62.5602	75.4446
1120	62.6364	74.7212
1121	62.6364	73.6252
