,DEPT,GR
543,61.341,43.0193
544,61.4172,43.9639
545,61.4934,45.643
546,61.5696,48.2354
547,61.6458,51.84
548,61.722,56.2331
549,61.7982,60.8221
550,61.8744,64.91
551,61.9506,68.0404
552,62.0268,69.9659
553,62.103,70.8882
554,62.1792,71.2116
555,62.2554,71.2855
556,62.3316,71.2971
557,62.4078,71.4077
558,62.484,71.7741
559,62.5602,72.4896
560,62.6364,73.6252
561,62.7126,75.0427
562,62.7888,76.3196
563,62.865,77.0565
564,62.9412,77.0438
565,63.0174,76.3855
566,63.0936,75.526
567,63.1698,74.9643
568,63.246,74.9982
569,63.3222,75.5143
570,63.3984,76.2418
571,63.4746,76.9158
572,63.5508,77.2926
573,63.627,77.3971
574,63.7032,77.3822
575,63.7794,77.3287
576,63.8556,77.3073
577,63.9318,77.4109
578,64.008,77.6363
579,64.0842,77.8731
580,64.1604,77.9619
581,64.2366,77.7782
582,64.3128,77.3451
583,64.389,76.865
584,64.4652,76.5901
585,64.5414,76.6891
586,64.6176,77.2085
587,64.6938,77.8863
588,64.77,78.2551
589,64.8462,78.1238
590,64.9224,77.7432
591,64.9986,77.473
592,65.0748,77.4627
593,65.151,77.6077
594,65.2272,77.7696
595,65.3034,77.8042
596,65.3796,77.572
597,65.4558,77.1416
598,65.532,76.743
599,65.6082,76.5643
600,65.6844,76.5253
601,65.7606,76.4803
602,65.8368,76.3792
603,65.913,76.2523
604,65.9892,76.0659
605,66.0654,75.719
606,66.1416,75.1939
607,66.2178,74.638
608,66.294,74.1213
609,66.3702,73.4821
610,66.4464,72.5236
611,66.5226,71.1435
612,66.5988,69.4832
613,66.675,67.9788
614,66.7512,67.2455
615,66.8274,67.6479
616,66.9036,69.1255
617,66.9798,71.2002
618,67.056,73.2467
619,67.1322,74.6494
620,67.2084,75.0491
621,67.2846,74.4132
622,67.3608,73.0357
623,67.437,71.5495
624,67.5132,70.7614
625,67.5894,71.3023
626,67.6656,73.0662
627,67.7418,75.2187
628,67.818,76.5222
629,67.8942,75.805
630,67.9704,72.5164
631,68.0466,67.016
632,68.1228,60.2448
633,68.199,53.3135
634,68.2752,47.1559
635,68.3514,42.4798
636,68.4276,39.603
637,68.5038,38.4997
638,68.58,38.7812
639,68.6562,39.7878
640,68.7324,40.906
641,68.8086,41.7781
642,68.8848,42.3085
643,68.961,42.5116
644,69.0372,42.4001
645,69.1134,41.8935
646,69.1896,40.8869
647,69.2658,39.4291
648,69.342,37.7943
649,69.4182,36.3868
650,69.4944,35.5257
651,69.5706,35.3679
652,69.6468,35.8304
653,69.723,36.5682
654,69.7992,37.0862
655,69.8754,37.031
656,69.9516,36.3147
657,70.0278,35.1259
658,70.104,33.7778
659,70.1802,32.5855
660,70.2564,31.6622
661,70.3326,31.0019
662,70.4088,30.5757
663,70.485,30.4403
664,70.5612,30.7636
665,70.6374,31.6549
666,70.7136,33.0755
667,70.7898,34.8454
668,70.866,36.7913
669,70.9422,38.7439
670,71.0184,40.4419
671,71.0946,41.5049
672,71.1708,41.5442
673,71.247,40.3631
674,71.3232,38.1631
675,71.3994,35.4949
676,71.4756,33.0611
677,71.5518,31.4076
678,71.628,30.7256
679,71.7042,30.9213
680,71.7804,31.8384
681,71.8566,33.3583
682,71.9328,35.2475
683,72.009,37.3155
684,72.0852,39.3917
685,72.1614,41.2556
686,72.2376,42.7214
687,72.3138,43.7268
688,72.39,44.2531
689,72.4662,44.4115
690,72.5424,44.4035
691,72.6186,44.4257
692,72.6948,44.6724
693,72.771,45.318
694,72.8472,46.2129
695,72.9234,46.9383
